"","Gene","Ensembl","Gene.description","Uniprot","Secretome.location"
"1071","FGFBP1","ENSG00000137440","Fibroblast growth factor binding protein 1","Q14512","Secreted in other tissues"
"1072","FGFBP2","ENSG00000137441","Fibroblast growth factor binding protein 2","Q9BYJ0","Secreted to blood"
"1073","IL18BP","ENSG00000137496","Interleukin 18 binding protein","O95998","Secreted to blood"
"1074","LRRC32","ENSG00000137507","Leucine rich repeat containing 32","Q14392","Intracellular and membrane"
"1075","PRCP","ENSG00000137509","Prolylcarboxypeptidase","P42785","Intracellular and membrane"
"1076","PI15","ENSG00000137558","Peptidase inhibitor 15","O43692","Secreted in other tissues"
"1077","GGH","ENSG00000137563","Gamma-glutamyl hydrolase","Q92820","Intracellular and membrane"
"1078","SULF1","ENSG00000137573","Sulfatase 1","Q8IWU6","Intracellular and membrane"
"1079","SDCBP","ENSG00000137575","Syndecan binding protein","O00560","Intracellular and membrane"
"1080","NXPE4","ENSG00000137634","Neurexophilin and PC-esterase domain family member 4","Q6UWF7","Secreted to digestive system"
"1081","SORL1","ENSG00000137642","Sortilin related receptor 1","Q92673","Secreted to blood"
"1082","TMPRSS4","ENSG00000137648","Transmembrane serine protease 4","Q9NRS4","Secreted in other tissues"
"1083","MMP7","ENSG00000137673","Matrix metallopeptidase 7","P09237","Secreted to extracellular matrix"
"1084","MMP20","ENSG00000137674","Matrix metallopeptidase 20","O60882","Secreted to extracellular matrix"
"1085","MMP27","ENSG00000137675","Matrix metallopeptidase 27","Q9H306","Intracellular and membrane"
"1086","MMP13","ENSG00000137745","Matrix metallopeptidase 13","P45452","Secreted to extracellular matrix"
"1087","THBS1","ENSG00000137801","Thrombospondin 1","P07996","Secreted to extracellular matrix"
"1088","RTF1","ENSG00000137815","RTF1 homolog, Paf1/RNA polymerase II complex component","Q92541","Intracellular and membrane"
"1089","ADAM10","ENSG00000137845","ADAM metallopeptidase domain 10","O14672","Intracellular and membrane"
"1090","SEMA6D","ENSG00000137872","Semaphorin 6D","Q8NFY4","Intracellular and membrane"
"1091","CLCA2","ENSG00000137975","Chloride channel accessory 2","Q9UQC9","Intracellular and membrane"
"1092","DNASE2B","ENSG00000137976","Deoxyribonuclease 2 beta","Q8WZ79","Intracellular and membrane"
"1093","CGREF1","ENSG00000138028","Cell growth regulator with EF-hand domain 1","Q99674","Secreted in brain"
"1094","EMILIN1","ENSG00000138080","Elastin microfibril interfacer 1","Q9Y6C2","Secreted to extracellular matrix"
"1095","CYP2C9","ENSG00000138109","Cytochrome P450 family 2 subfamily C member 9","P11712","Intracellular and membrane"
"1096","CYP2C8","ENSG00000138115","Cytochrome P450 family 2 subfamily C member 8","P10632","Intracellular and membrane"
"1097","LOXL4","ENSG00000138131","Lysyl oxidase like 4","Q96JB6","Secreted to extracellular matrix"
"1098","RBP4","ENSG00000138207","Retinol binding protein 4","P02753","Secreted to blood"
"1099","PLA2G12B","ENSG00000138308","Phospholipase A2 group XIIB","Q9BX93","Secreted to blood"
"1100","OIT3","ENSG00000138315","Oncoprotein induced transcript 3","Q8WWZ8","Secreted to blood"
"1101","ADAMTS14","ENSG00000138316","ADAM metallopeptidase with thrombospondin type 1 motif 14","Q8WXS8","Secreted to extracellular matrix"
"1102","MSTN","ENSG00000138379","Myostatin","O14793","Secreted in other tissues"
"1103","GLCE","ENSG00000138604","Glucuronic acid epimerase","O94923","Intracellular and membrane"
"1104","CILP","ENSG00000138615","Cartilage intermediate layer protein","O75339","Secreted to extracellular matrix"
"1105","FGF5","ENSG00000138675","Fibroblast growth factor 5","P12034","Secreted in brain"
"1106","IL21","ENSG00000138684","Interleukin 21","Q9HBE4","Secreted to blood"
"1107","FGF2","ENSG00000138685","Fibroblast growth factor 2","P09038","Secreted in other tissues"
"1108","MMRN1","ENSG00000138722","Multimerin 1","Q13201","Secreted to extracellular matrix"
"1109","NAAA","ENSG00000138744","N-acylethanolamine acid amidase","Q02083","Intracellular and membrane"
"1110","CXCL9","ENSG00000138755","C-X-C motif chemokine ligand 9","Q07325","Secreted to blood"
"1111","FRAS1","ENSG00000138759","Fraser extracellular matrix complex subunit 1","Q86XX4","Intracellular and membrane"
"1112","MTTP","ENSG00000138823","Microsomal triglyceride transfer protein","P55157","Intracellular and membrane"
"1113","FBN2","ENSG00000138829","Fibrillin 2","P35556","Secreted to extracellular matrix"
"1114","B4GALNT3","ENSG00000139044","Beta-1,4-N-acetyl-galactosaminyltransferase 3","Q6L9W6","Intracellular and membrane"
"1115","ERP27","ENSG00000139055","Endoplasmic reticulum protein 27","Q96DN0","Intracellular and membrane"
"1116","C1RL","ENSG00000139178","Complement C1r subcomponent like","Q9NZP8","Secreted to blood"
"1117","PIANP","ENSG00000139200","PILR alpha associated neural protein","Q8IYJ0","Intracellular and membrane"
"1118","COL2A1","ENSG00000139219","Collagen type II alpha 1 chain","P02458","Secreted to extracellular matrix"
"1119","INHBE","ENSG00000139269","Inhibin subunit beta E","P58166","Secreted to blood"
"1120","GLIPR1","ENSG00000139278","GLI pathogenesis related 1","P48060","Intracellular and membrane"
"1121","LUM","ENSG00000139329","Lumican","P51884","Secreted to extracellular matrix"
"1122","KERA","ENSG00000139330","Keratocan","O60938","Secreted to extracellular matrix"
"1123","ASCL1","ENSG00000139352","Achaete-scute family bHLH transcription factor 1","P50553","Intracellular and membrane"
"1124","DHH","ENSG00000139549","Desert hedgehog signaling molecule","O43323","Secreted in male reproductive system"
"1125","ACVRL1","ENSG00000139567","Activin A receptor like type 1","P37023","Intracellular and membrane"
"1126","NPFF","ENSG00000139574","Neuropeptide FF-amide peptide precursor","O15130","Secreted in male reproductive system"
"1127","CELA1","ENSG00000139610","Chymotrypsin like elastase 1","Q9UNI1","Secreted - unknown location"
"1128","KANSL2","ENSG00000139620","KAT8 regulatory NSL complex subunit 2","Q9H9L4","Intracellular and membrane"
"1129","GALNT6","ENSG00000139629","Polypeptide N-acetylgalactosaminyltransferase 6","Q8NCL4","Intracellular and membrane"
"1130","CSAD","ENSG00000139631","Cysteine sulfinic acid decarboxylase","Q9Y600","Intracellular and membrane"
"1131","MYG1","ENSG00000139637","MYG1 exonuclease","Q9HB07","Intracellular and membrane"
"1132","CBLN3","ENSG00000139899","Cerebellin 3 precursor","Q6UW01","Secreted in brain"
"1133","RDH12","ENSG00000139988","Retinol dehydrogenase 12","Q96NR8","Intracellular and membrane"
"1134","FBLN5","ENSG00000140092","Fibulin 5","Q9UBX5","Secreted to extracellular matrix"
"1135","SERPINA10","ENSG00000140093","Serpin family A member 10","Q9UK55","Secreted to blood"
"1136","FGF7","ENSG00000140285","Fibroblast growth factor 7","P21781","Secreted in other tissues"
"1137","USP3","ENSG00000140455","Ubiquitin specific peptidase 3","Q9Y6I4","Intracellular and membrane"
"1138","ADAMTS17","ENSG00000140470","ADAM metallopeptidase with thrombospondin type 1 motif 17","Q8TE56","Secreted to extracellular matrix"
"1139","PCSK6","ENSG00000140479","Proprotein convertase subtilisin/kexin type 6","P29122","Secreted to extracellular matrix"
"1140","HAPLN3","ENSG00000140511","Hyaluronan and proteoglycan link protein 3","Q96S86","Secreted to extracellular matrix"
"1141","MFGE8","ENSG00000140545","Milk fat globule EGF and factor V/VIII domain containing","Q08431","Secreted to blood"
"1142","ST8SIA2","ENSG00000140557","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2","Q92186","Intracellular and membrane"
"1143","FURIN","ENSG00000140564","Furin, paired basic amino acid cleaving enzyme","P09958","Intracellular and membrane"
"1144","ARMC5","ENSG00000140691","Armadillo repeat containing 5","Q96C12","Intracellular and membrane"
"1145","CHST4","ENSG00000140835","Carbohydrate sulfotransferase 4","Q8NCG5","Intracellular and membrane"
"1146","CLEC18B","ENSG00000140839","C-type lectin domain family 18 member B","Q6UXF7","Secreted to blood"
"1147","ADAMTS18","ENSG00000140873","ADAM metallopeptidase with thrombospondin type 1 motif 18","Q8TE60","Secreted to extracellular matrix"
"1148","GCSH","ENSG00000140905","Glycine cleavage system protein H","P23434","Intracellular and membrane"
"1149","CDH13","ENSG00000140945","Cadherin 13","P55290","Intracellular and membrane"
"1150","GALNS","ENSG00000141012","Galactosamine (N-acetyl)-6-sulfatase","P34059","Intracellular and membrane"
"1151","CTRL","ENSG00000141086","Chymotrypsin like","P40313","Secreted to digestive system"
"1152","GFOD2","ENSG00000141098","Glucose-fructose oxidoreductase domain containing 2","Q3B7J2","Secreted to blood"
"1153","SPACA3","ENSG00000141316","Sperm acrosome associated 3","Q8IXA5","Secreted in male reproductive system"
"1154","ARSG","ENSG00000141337","Arylsulfatase G","Q96EG1","Intracellular and membrane"
"1155","GALNT1","ENSG00000141429","Polypeptide N-acetylgalactosaminyltransferase 1","Q10472","Intracellular and membrane"
"1156","ADCYAP1","ENSG00000141433","Adenylate cyclase activating polypeptide 1","P18509","Secreted in other tissues"
"1157","MEP1B","ENSG00000141434","Meprin A subunit beta","Q16820","Secreted to digestive system"
"1158","ASGR1","ENSG00000141505","Asialoglycoprotein receptor 1","P07306","Secreted to blood"
"1159","SECTM1","ENSG00000141574","Secreted and transmembrane 1","Q8WVN6","Secreted to blood"
"1160","TNFRSF11A","ENSG00000141655","TNF receptor superfamily member 11a","Q9Y6Q6","Intracellular and membrane"
"1161","CBLN2","ENSG00000141668","Cerebellin 2 precursor","Q8IUK8","Secreted in brain"
"1162","P3H4","ENSG00000141696","Prolyl 3-hydroxylase family member 4 (inactive)","Q92791","Intracellular and membrane"
"1163","IGFBP4","ENSG00000141753","Insulin like growth factor binding protein 4","P22692","Secreted to blood"
"1164","FKBP10","ENSG00000141756","FKBP prolyl isomerase 10","Q96AY3","Intracellular and membrane"
"1165","SAMD1","ENSG00000141858","Sterile alpha motif domain containing 1","","Intracellular and membrane"
"1166","COL6A1","ENSG00000142156","Collagen type VI alpha 1 chain","P12109","Secreted to extracellular matrix"
"1167","COL6A2","ENSG00000142173","Collagen type VI alpha 2 chain","P12110","Secreted to extracellular matrix"
"1168","APP","ENSG00000142192","Amyloid beta precursor protein","P05067","Secreted to blood"
"1169","IL19","ENSG00000142224","Interleukin 19","Q9UHD0","Secreted to blood"
"1170","NTN5","ENSG00000142233","Netrin 5","Q8WTR8","Secreted in brain"
"1171","ADAMTS10","ENSG00000142303","ADAM metallopeptidase with thrombospondin type 1 motif 10","Q9H324","Secreted to extracellular matrix"
"1172","FBN3","ENSG00000142449","Fibrillin 3","Q75N90","Secreted to extracellular matrix"
"1173","CARM1","ENSG00000142453","Coactivator associated arginine methyltransferase 1","Q86X55","Intracellular and membrane"
"1174","SIGLEC10","ENSG00000142512","Sialic acid binding Ig like lectin 10","Q96LC7","Intracellular and membrane"
"1175","KLK3","ENSG00000142515","Kallikrein related peptidase 3","P07288","Secreted in male reproductive system"
"1176","PTH2","ENSG00000142538","Parathyroid hormone 2","Q96A98","Secreted in brain"
"1177","IGLON5","ENSG00000142549","IgLON family member 5","A6NGN9","Secreted in brain"
"1178","RCN3","ENSG00000142552","Reticulocalbin 3","Q96D15","Intracellular and membrane"
"1179","MMEL1","ENSG00000142606","Membrane metalloendopeptidase like 1","Q495T6","Intracellular and membrane"
"1180","CELA2A","ENSG00000142615","Chymotrypsin like elastase 2A","P08217","Secreted to digestive system"
"1181","DMRTA2","ENSG00000142700","DMRT like family A2","Q96SC8","Intracellular and membrane"
"1182","FCN3","ENSG00000142748","Ficolin 3","O75636","Secreted to blood"
"1183","CELA3A","ENSG00000142789","Chymotrypsin like elastase 3A","P09093","Secreted to digestive system"
"1184","HSPG2","ENSG00000142798","Heparan sulfate proteoglycan 2","P98160","Secreted to extracellular matrix"
"1185","CCN1","ENSG00000142871","Cellular communication network factor 1","O00622","Secreted to extracellular matrix"
"1186","PIGK","ENSG00000142892","Phosphatidylinositol glycan anchor biosynthesis class K","Q92643","Intracellular and membrane"
"1187","TINAGL1","ENSG00000142910","Tubulointerstitial nephritis antigen like 1","Q9GZM7","Secreted to extracellular matrix"
"1188","PTPRF","ENSG00000142949","Protein tyrosine phosphatase receptor type F","P10586","Intracellular and membrane"
"1189","FNDC7","ENSG00000143107","Fibronectin type III domain containing 7","Q5VTL7","Secreted in male reproductive system"
"1190","PROK1","ENSG00000143125","Prokineticin 1","P58294","Secreted to blood"
"1191","ALDH9A1","ENSG00000143149","Aldehyde dehydrogenase 9 family member A1","P49189","Intracellular and membrane"
"1192","CREG1","ENSG00000143162","Cellular repressor of E1A stimulated genes 1","O75629","Secreted to blood"
"1193","XCL1","ENSG00000143184","X-C motif chemokine ligand 1","P47992","Secreted to blood"
"1194","XCL2","ENSG00000143185","X-C motif chemokine ligand 2","Q9UBD3","Secreted to blood"
"1195","DPT","ENSG00000143196","Dermatopontin","Q07507","Secreted to extracellular matrix"
"1196","NECTIN4","ENSG00000143217","Nectin cell adhesion molecule 4","Q96NY8","Secreted in other tissues"
"1197","F13B","ENSG00000143278","Coagulation factor XIII B chain","P05160","Secreted to blood"
"1198","FCRL5","ENSG00000143297","Fc receptor like 5","Q96RD9","Secreted to blood"
"1199","MRPL24","ENSG00000143314","Mitochondrial ribosomal protein L24","Q96A35","Intracellular and membrane"
"1200","CASQ1","ENSG00000143318","Calsequestrin 1","P31415","Intracellular and membrane"
"1201","HDGF","ENSG00000143321","Heparin binding growth factor","P51858","Secreted to blood"
"1202","HMCN1","ENSG00000143341","Hemicentin 1","Q96RW7","Secreted to extracellular matrix"
"1203","TUFT1","ENSG00000143367","Tuftelin 1","Q9NNX1","Secreted - unknown location"
"1204","ECM1","ENSG00000143369","Extracellular matrix protein 1","Q16610","Secreted to extracellular matrix"
"1205","ADAMTSL4","ENSG00000143382","ADAMTS like 4","Q6UY14","Secreted to extracellular matrix"
"1206","CTSK","ENSG00000143387","Cathepsin K","P43235","Intracellular and membrane"
"1207","C1orf56","ENSG00000143443","Chromosome 1 open reading frame 56","Q9BUN1","Secreted to blood"
"1208","VASH2","ENSG00000143494","Vasohibin 2","Q86V25","Secreted to blood"
"1209","SUSD4","ENSG00000143502","Sushi domain containing 4","Q5VX71","Intracellular and membrane"
"1210","HHIPL2","ENSG00000143512","HHIP like 2","Q6UWX4","Secreted in other tissues"
"1211","S100A8","ENSG00000143546","S100 calcium binding protein A8","P05109","Secreted to blood"
"1212","S100A7","ENSG00000143556","S100 calcium binding protein A7","P31151","Secreted in other tissues"
"1213","INTS3","ENSG00000143624","Integrator complex subunit 3","Q68E01","Intracellular and membrane"
"1214","GALNT2","ENSG00000143641","Polypeptide N-acetylgalactosaminyltransferase 2","Q10471","Intracellular and membrane"
"1215","LEFTY2","ENSG00000143768","Left-right determination factor 2","O00292","Secreted in other tissues"
"1216","WNT9A","ENSG00000143816","Wnt family member 9A","O14904","Secreted to extracellular matrix"
"1217","REN","ENSG00000143839","Renin","P00797","Secreted to blood"
"1218","GDF7","ENSG00000143869","Growth differentiation factor 7","Q7Z4P5","Secreted in other tissues"
"1219","PDIA6","ENSG00000143870","Protein disulfide isomerase family A member 6","Q15084","Intracellular and membrane"
"1220","REG3G","ENSG00000143954","Regenerating family member 3 gamma","Q6UW15","Secreted to digestive system"
"1221","THNSL2","ENSG00000144115","Threonine synthase like 2","Q86YJ6","Secreted - unknown location"
"1222","C1QL2","ENSG00000144119","Complement C1q like 2","Q7Z5L3","Secreted in brain"
"1223","FBLN7","ENSG00000144152","Fibulin 7","Q53RD9","Secreted to extracellular matrix"
"1224","LYG1","ENSG00000144214","Lysozyme g1","Q8N1E2","Secreted in other tissues"
"1225","NXPH2","ENSG00000144227","Neurexophilin 2","O95156","Secreted in brain"
"1226","TMEFF2","ENSG00000144339","Transmembrane protein with EGF like and two follistatin like domains 2","Q9UIK5","Secreted in male reproductive system"
"1227","CPO","ENSG00000144410","Carboxypeptidase O","Q8IVL8","Intracellular and membrane"
"1228","SUMF1","ENSG00000144455","Sulfatase modifying factor 1","Q8NBK3","Intracellular and membrane"
